,Unnamed:_0,Formatted_Date,Summary,Precip_Type,Temperature____,Apparent_Temperature____,Humidity,Wind_Speed__km_h_,Wind_Bearing__degrees_,Visibility__km_,Loud__over,Pressure__millibars_,Daily_Summary
0,0,2006-04-01 00:00:00.000 +0200,Partly Cloudy,rain,9.472222222222221,7.3888888888888875,0.89,14.1197,251.0,15.826300000000002,0.0,1015.13,Partly cloudy throughout the day.
1,24,2006-04-10 00:00:00.000 +0200,Partly Cloudy,rain,10.42222222222222,10.42222222222222,0.62,16.985500000000002,150.0,15.826300000000002,0.0,1014.4,Mostly cloudy throughout the day.
2,48,2006-04-11 00:00:00.000 +0200,Overcast,rain,13.77222222222222,13.77222222222222,0.6,17.0982,160.0,15.826300000000002,0.0,1007.36,Foggy in the evening.
3,72,2006-04-12 00:00:00.000 +0200,Foggy,rain,8.199999999999998,5.072222222222224,0.96,20.447,341.0,3.1073,0.0,1004.8,Foggy overnight and breezy in the morning.
4,96,2006-04-13 00:00:00.000 +0200,Mostly Cloudy,rain,7.316666666666667,6.211111111111111,0.75,6.6654,326.0,15.8746,0.0,1007.07,Overcast throughout the day.
5,120,2006-04-14 00:00:00.000 +0200,Mostly Cloudy,rain,6.622222222222224,4.111111111111111,0.85,12.719000000000001,142.0,14.9086,0.0,1012.22,Mostly cloudy throughout the day.
6,144,2006-04-15 00:00:00.000 +0200,Mostly Cloudy,rain,10.444444444444443,10.444444444444443,0.83,2.6404,63.0,15.8746,0.0,1014.75,Mostly cloudy throughout the day.
7,168,2006-04-16 00:00:00.000 +0200,Overcast,rain,12.266666666666666,12.266666666666666,0.69,14.1358,151.0,15.826300000000002,0.0,1016.8,Mostly cloudy throughout the day.
8,192,2006-04-17 00:00:00.000 +0200,Mostly Cloudy,rain,11.183333333333335,11.183333333333335,0.93,6.922999999999999,241.0,15.826300000000002,0.0,1012.6,Partly cloudy throughout the day.
9,216,2006-04-18 00:00:00.000 +0200,Partly Cloudy,rain,9.522222222222222,7.8611111111111125,0.88,11.27,280.0,11.9784,0.0,1012.52,Partly cloudy until night.
10,240,2006-04-19 00:00:00.000 +0200,Overcast,rain,14.372222222222225,14.372222222222225,0.75,6.5366,67.0,15.826300000000002,0.0,1011.83,Mostly cloudy until night.
11,264,2006-04-02 00:00:00.000 +0200,Mostly Cloudy,rain,9.555555555555557,8.850000000000003,0.8,6.4883000000000015,146.0,15.826300000000002,0.0,1015.68,Partly cloudy throughout the day.
12,288,2006-04-20 00:00:00.000 +0200,Partly Cloudy,rain,11.827777777777774,11.827777777777774,0.92,3.0268,311.0,15.826300000000002,0.0,1011.68,Foggy starting overnight continuing until morning.
13,312,2006-04-21 00:00:00.000 +0200,Mostly Cloudy,rain,11.527777777777779,11.527777777777779,0.96,3.1556,358.0,4.508,0.0,1016.43,Foggy in the morning.
14,336,2006-04-22 00:00:00.000 +0200,Foggy,rain,9.883333333333333,9.883333333333333,0.96,3.3649,349.0,1.0626000000000002,0.0,1017.65,Foggy starting overnight continuing until morning.
15,360,2006-04-23 00:00:00.000 +0200,Clear,rain,10.555555555555557,10.555555555555557,0.95,6.0375000000000005,290.0,14.812,0.0,1015.83,Foggy in the morning.
16,384,2006-04-24 00:00:00.000 +0200,Partly Cloudy,rain,11.116666666666665,11.116666666666665,0.95,3.1717,268.0,6.2951000000000015,0.0,1017.04,Partly cloudy until evening.
17,408,2006-04-25 00:00:00.000 +0200,Clear,rain,12.711111111111116,12.711111111111116,0.89,3.2522,169.0,15.826300000000002,0.0,1020.11,Partly cloudy starting in the morning.
18,432,2006-04-26 00:00:00.000 +0200,Clear,rain,13.311111111111117,13.311111111111117,0.82,3.5420000000000007,73.0,15.826300000000002,0.0,1018.44,Mostly cloudy starting overnight continuing until night.
19,456,2006-04-27 00:00:00.000 +0200,Mostly Cloudy,rain,15.444444444444445,15.444444444444445,0.72,13.845999999999998,31.0,15.826300000000002,0.0,1013.92,Mostly cloudy throughout the day.
20,480,2006-04-28 00:00:00.000 +0200,Mostly Cloudy,rain,13.4,13.4,0.9,3.5098000000000003,116.0,11.9784,0.0,1012.56,Mostly cloudy throughout the day.
21,504,2006-04-29 00:00:00.000 +0200,Partly Cloudy,rain,12.316666666666668,12.316666666666668,0.65,11.1734,139.0,15.826300000000002,0.0,1009.56,Mostly cloudy until night.
22,528,2006-04-03 00:00:00.000 +0200,Partly Cloudy,rain,9.216666666666667,8.627777777777778,0.9,5.8443000000000005,189.0,14.6349,0.0,1014.24,Partly cloudy until night.
23,552,2006-04-30 00:00:00.000 +0200,Mostly Cloudy,rain,11.6,11.6,0.57,16.985500000000002,150.0,15.826300000000002,0.0,1011.68,Mostly cloudy throughout the day.
24,576,2006-04-04 00:00:00.000 +0200,Partly Cloudy,rain,9.533333333333333,8.677777777777777,0.76,7.084000000000001,310.0,15.826300000000002,0.0,1013.49,Mostly cloudy until evening.
25,600,2006-04-05 00:00:00.000 +0200,Partly Cloudy,rain,5.327777777777778,4.15,0.95,5.8926000000000025,157.0,8.1305,0.0,1015.92,Foggy in the morning.
26,624,2006-04-06 00:00:00.000 +0200,Overcast,rain,11.688888888888883,11.688888888888883,0.8,11.3183,211.0,15.7297,0.0,1005.45,Overcast throughout the day.
27,648,2006-04-07 00:00:00.000 +0200,Overcast,rain,4.466666666666666,1.277777777777776,0.92,13.9748,301.0,9.9015,0.0,1013.9,Mostly cloudy until evening.
28,672,2006-04-08 00:00:00.000 +0200,Partly Cloudy,rain,3.8000000000000016,2.2888888888888874,0.82,6.2146,270.0,15.7297,0.0,1017.32,Partly cloudy starting in the morning continuing until evening.
29,696,2006-04-09 00:00:00.000 +0200,Clear,rain,6.0166666666666675,4.783333333333333,0.74,6.4078,163.0,15.826300000000002,0.0,1018.39,Partly cloudy starting in the afternoon.
30,720,2006-08-01 00:00:00.000 +0200,Partly Cloudy,rain,21.016666666666666,21.016666666666666,0.87,3.22,310.0,15.826300000000002,0.0,1012.02,Partly cloudy starting overnight.
31,744,2006-08-10 00:00:00.000 +0200,Partly Cloudy,rain,15.56111111111111,15.56111111111111,0.92,3.3327,263.0,14.9086,0.0,1011.53,Mostly cloudy until night.
32,768,2006-08-11 00:00:00.000 +0200,Overcast,rain,17.25,17.25,0.89,10.5294,338.0,15.826300000000002,0.0,1008.16,Partly cloudy throughout the day.
33,792,2006-08-12 00:00:00.000 +0200,Mostly Cloudy,rain,15.694444444444445,15.694444444444445,0.83,6.5044,281.0,15.826300000000002,0.0,1009.79,Mostly cloudy until night.
34,816,2006-08-13 00:00:00.000 +0200,Mostly Cloudy,rain,16.733333333333334,16.733333333333334,0.93,6.0053,112.0,3.912300000000001,0.0,1007.28,Mostly cloudy throughout the day.
35,840,2006-08-14 00:00:00.000 +0200,Overcast,rain,16.666666666666668,16.666666666666668,0.97,6.1824,159.0,7.969500000000001,0.0,1010.49,Mostly cloudy until night.
36,864,2006-08-15 00:00:00.000 +0200,Mostly Cloudy,rain,17.711111111111116,17.711111111111116,0.84,12.9444,309.0,15.826300000000002,0.0,1013.41,Partly cloudy until evening.
37,888,2006-08-16 00:00:00.000 +0200,Partly Cloudy,rain,15.072222222222226,15.072222222222226,0.93,2.2862,98.0,15.826300000000002,0.0,1015.99,Partly cloudy throughout the day.
38,912,2006-08-17 00:00:00.000 +0200,Partly Cloudy,rain,19.355555555555558,19.355555555555558,0.74,11.0124,139.0,15.826300000000002,0.0,1012.6,Partly cloudy until morning.
39,936,2006-08-18 00:00:00.000 +0200,Clear,rain,21.550000000000004,21.550000000000004,0.81,6.391700000000001,152.0,15.826300000000002,0.0,1012.66,Partly cloudy starting overnight continuing until night.
40,960,2006-08-19 00:00:00.000 +0200,Partly Cloudy,rain,22.600000000000005,22.600000000000005,0.77,6.0536,266.0,15.826300000000002,0.0,1015.69,Partly cloudy starting in the afternoon continuing until night.
41,984,2006-08-02 00:00:00.000 +0200,Mostly Cloudy,rain,20.416666666666668,20.416666666666668,0.84,23.86020000000001,339.0,15.649200000000002,0.0,1008.14,Mostly cloudy throughout the day.
42,1008,2006-08-20 00:00:00.000 +0200,Partly Cloudy,rain,21.088888888888885,21.088888888888885,0.9,3.1878,110.0,15.826300000000002,0.0,1017.18,Partly cloudy starting in the afternoon.
43,1032,2006-08-21 00:00:00.000 +0200,Breezy and Partly Cloudy,rain,21.96666666666667,21.96666666666667,0.72,30.8315,310.0,15.826300000000002,0.0,1015.64,Mostly cloudy starting overnight.
44,1056,2006-08-22 00:00:00.000 +0200,Clear,rain,15.055555555555555,15.055555555555555,0.87,6.9391,279.0,15.826300000000002,0.0,1016.27,Partly cloudy starting in the morning.
45,1080,2006-08-23 00:00:00.000 +0200,Partly Cloudy,rain,15.027777777777779,15.027777777777779,0.92,3.7191000000000014,278.0,11.9784,0.0,1016.11,Partly cloudy starting in the morning.
46,1104,2006-08-24 00:00:00.000 +0200,Partly Cloudy,rain,13.900000000000002,13.900000000000002,0.92,3.3649,251.0,11.9784,0.0,1016.4,Partly cloudy starting in the morning.
47,1128,2006-08-25 00:00:00.000 +0200,Partly Cloudy,rain,17.061111111111117,17.061111111111117,0.71,10.6582,119.0,15.826300000000002,0.0,1011.78,Partly cloudy until evening.
48,1152,2006-08-26 00:00:00.000 +0200,Mostly Cloudy,rain,16.06666666666667,16.06666666666667,0.87,6.5044,306.0,15.826300000000002,0.0,1010.12,Partly cloudy until night.
49,1176,2006-08-27 00:00:00.000 +0200,Partly Cloudy,rain,14.072222222222221,14.072222222222221,0.85,6.2468,318.0,15.826300000000002,0.0,1010.82,Partly cloudy until afternoon.
50,1200,2006-08-28 00:00:00.000 +0200,Mostly Cloudy,rain,16.666666666666668,16.666666666666668,0.78,3.4615,346.0,15.826300000000002,0.0,1010.67,Mostly cloudy until evening.
51,1224,2006-08-29 00:00:00.000 +0200,Clear,rain,13.872222222222225,13.872222222222225,0.93,3.4776,202.0,15.826300000000002,0.0,1007.98,Mostly cloudy starting overnight continuing until night.
52,1248,2006-08-03 00:00:00.000 +0200,Partly Cloudy,rain,17.13888888888889,17.13888888888889,0.87,6.44,300.0,15.826300000000002,0.0,1009.64,Mostly cloudy throughout the day.
53,1272,2006-08-30 00:00:00.000 +0200,Overcast,rain,11.644444444444444,11.644444444444444,0.95,3.3327,172.0,15.826300000000002,0.0,1009.1,Mostly cloudy until evening.
54,1296,2006-08-31 00:00:00.000 +0200,Mostly Cloudy,rain,12.222222222222221,12.222222222222221,0.86,11.511500000000002,259.0,14.9086,0.0,1015.16,Mostly cloudy until night and breezy in the afternoon.
55,1320,2006-08-04 00:00:00.000 +0200,Mostly Cloudy,rain,19.4,19.4,0.97,10.8192,112.0,8.1949,0.0,1000.81,Mostly cloudy until night.
56,1344,2006-08-05 00:00:00.000 +0200,Mostly Cloudy,rain,16.461111111111116,16.461111111111116,0.97,2.9463000000000004,286.0,8.0017,0.0,1008.74,Partly cloudy until evening.
57,1368,2006-08-06 00:00:00.000 +0200,Clear,rain,13.988888888888884,13.988888888888884,0.92,9.7405,270.0,9.982000000000001,0.0,0.0,Partly cloudy starting in the morning.
58,1392,2006-08-07 00:00:00.000 +0200,Partly Cloudy,rain,15.144444444444444,15.144444444444444,0.95,3.1556,153.0,9.982000000000001,0.0,1009.8,Mostly cloudy throughout the day.
59,1416,2006-08-08 00:00:00.000 +0200,Mostly Cloudy,rain,16.688888888888883,16.688888888888883,0.97,3.4776,279.0,8.1305,0.0,1004.25,Partly cloudy until night.
60,1440,2006-08-09 00:00:00.000 +0200,Partly Cloudy,rain,15.072222222222226,15.072222222222226,0.93,6.327300000000001,242.0,15.826300000000002,0.0,1008.0,Partly cloudy starting in the morning.
61,1464,2006-12-01 00:00:00.000 +0100,Overcast,rain,6.572222222222222,5.416666666666668,0.93,6.44,340.0,4.3953000000000015,0.0,1038.06,Foggy in the morning.
62,1488,2006-12-10 00:00:00.000 +0100,Overcast,rain,9.044444444444443,6.1999999999999975,0.83,19.8674,170.0,14.812,0.0,1015.83,Foggy in the morning.
63,1512,2006-12-11 00:00:00.000 +0100,Clear,rain,1.872222222222221,-0.14999999999999974,0.91,6.8264000000000005,243.0,15.826300000000002,0.0,1033.2,Foggy starting in the evening.
64,1536,2006-12-12 00:00:00.000 +0100,Foggy,rain,2.372222222222224,2.372222222222224,0.96,2.5438,21.0,0.16100000000000006,0.0,1029.02,Foggy throughout the day.
65,1560,2006-12-13 00:00:00.000 +0100,Foggy,rain,0.5333333333333338,-3.566666666666668,0.96,14.0875,201.0,1.8837,0.0,1030.9,Foggy throughout the day.
66,1584,2006-12-14 00:00:00.000 +0100,Foggy,snow,-0.07222222222222167,-3.638888888888889,1.0,11.0285,229.0,0.3220000000000001,0.0,1036.29,Foggy throughout the day.
67,1608,2006-12-15 00:00:00.000 +0100,Foggy,snow,-1.0888888888888897,-1.0888888888888897,0.96,3.2683,216.0,0.16100000000000006,0.0,1037.09,Foggy throughout the day.
68,1632,2006-12-16 00:00:00.000 +0100,Foggy,snow,-1.183333333333333,-1.183333333333333,0.96,3.22,40.0,0.16100000000000006,0.0,1034.23,Foggy throughout the day.
69,1656,2006-12-17 00:00:00.000 +0100,Foggy,snow,-1.6222222222222231,-1.6222222222222231,1.0,3.22,100.0,0.16100000000000006,0.0,1029.69,Foggy throughout the day.
70,1680,2006-12-18 00:00:00.000 +0100,Foggy,rain,1.1111111111111112,1.1111111111111112,0.96,3.22,20.0,2.9785000000000004,0.0,1025.94,Foggy starting overnight continuing until morning.
71,1704,2006-12-19 00:00:00.000 +0100,Overcast,rain,3.2888888888888896,-1.938888888888888,0.82,27.6276,19.0,9.982000000000001,0.0,1023.64,Overcast throughout the day.
